	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	dataset	prior	confidence+prior
5251	separately,	Formality.high	295.0	1964.0	295.0	1.0	2.075	0.038	inf	Formality	0.482	100.0 (48.2)
5258	already,	Formality.high	62.0	1964.0	62.0	1.0	2.075	0.008	inf	Formality	0.482	100.0 (48.2)
5264	actually,	Formality.low	30.0	2111.0	30.0	1.0	1.93	0.004	inf	Formality	0.518	100.0 (51.8)
11981	interestingly,	QQP.not-duplicate	27.0	206126.0	27.0	1.0	1.586	0.0	inf	QQP	0.631	100.0 (63.1)
14271	frankly,	SUBJ.subjective	127.0	4514.0	127.0	1.0	1.994	0.007	inf	SUBJ	0.502	100.0 (50.2)
14269	again,	SUBJ.subjective	65.0	4514.0	65.0	1.0	1.994	0.004	inf	SUBJ	0.502	100.0 (50.2)
14266	presently,	SUBJ.objective	24.0	4485.0	24.0	1.0	2.006	0.001	inf	SUBJ	0.498	100.0 (49.8)
4737	third,	Verifiability.unverifiable	23.0	4459.0	23.0	1.0	1.423	0.001	inf	Verifiability	0.703	100.0 (70.3)
5558	altogether,	Informativeness.high	31.0	1938.0	31.0	1.0	2.159	0.004	inf	Informativeness	0.463	100.0 (46.3)
5556	significantly,	Informativeness.high	57.0	1938.0	57.0	1.0	2.159	0.007	inf	Informativeness	0.463	100.0 (46.3)
5554	nationally,	Informativeness.high	29.0	1938.0	29.0	1.0	2.159	0.004	inf	Informativeness	0.463	100.0 (46.3)
13848	unfortunately,	CR.negative	66.0	1241.0	66.0	1.0	2.733	0.012	inf	CR	0.366	100.0 (36.6)
5547	really,	Informativeness.low	25.0	2246.0	25.0	1.0	1.863	0.003	inf	Informativeness	0.537	100.0 (53.7)
14264	in_other_words	SUBJ.subjective	61.0	4514.0	61.0	1.0	1.994	0.003	inf	SUBJ	0.502	100.0 (50.2)
5546	seriously,	Informativeness.low	37.0	2246.0	37.0	1.0	1.863	0.004	inf	Informativeness	0.537	100.0 (53.7)
5233	probably,	Formality.low	31.0	2111.0	31.0	1.0	1.93	0.004	inf	Formality	0.518	100.0 (51.8)
5249	significantly,	Formality.high	73.0	1964.0	73.0	1.0	2.075	0.009	inf	Formality	0.482	100.0 (48.2)
5242	elsewhere,	Formality.high	31.0	1964.0	31.0	1.0	2.075	0.004	inf	Formality	0.482	100.0 (48.2)
5236	by_contrast,	Formality.high	35.0	1964.0	35.0	1.0	2.075	0.004	inf	Formality	0.482	100.0 (48.2)
11972	oddly,	QQP.not-duplicate	25.0	206126.0	25.0	1.0	1.586	0.0	inf	QQP	0.631	100.0 (63.1)
5235	personally,	Formality.low	28.0	2111.0	28.0	1.0	1.93	0.003	inf	Formality	0.518	100.0 (51.8)
5230	well,	Formality.low	49.0	2111.0	49.0	1.0	1.93	0.006	inf	Formality	0.518	100.0 (51.8)
5255	seriously,	Formality.low	35.0	2111.0	35.0	1.0	1.93	0.004	inf	Formality	0.518	100.0 (51.8)
11975	anyway,	QQP.not-duplicate	87.0	206126.0	87.0	1.0	1.586	0.0	inf	QQP	0.631	100.0 (63.1)
11974	namely,	QQP.not-duplicate	50.0	206126.0	50.0	1.0	1.586	0.0	inf	QQP	0.631	100.0 (63.1)
5259	altogether,	Formality.high	24.0	1964.0	24.0	1.0	2.075	0.003	inf	Formality	0.482	100.0 (48.2)
4743	ideally,	Verifiability.unverifiable	228.0	4459.0	227.0	0.996	1.417	0.011	67.796	Verifiability	0.703	99.6 (70.3)
14272	soon,	SUBJ.objective	160.0	4485.0	159.0	0.994	1.994	0.009	80.258	SUBJ	0.498	99.4 (49.8)
14273	later,	SUBJ.objective	273.0	4485.0	271.0	0.993	1.992	0.015	68.47	SUBJ	0.498	99.3 (49.8)
14274	eventually,	SUBJ.objective	110.0	4485.0	109.0	0.991	1.988	0.006	55.177	SUBJ	0.498	99.1 (49.8)
5265	anyway,	Formality.low	101.0	2111.0	100.0	0.99	1.911	0.012	48.678	Formality	0.518	99.0 (51.8)
11990	finally,	QQP.not-duplicate	70.0	206126.0	69.0	0.986	1.563	0.0	25.856	QQP	0.631	98.6 (63.1)
11991	thirdly,	QQP.not-duplicate	63.0	206126.0	62.0	0.984	1.561	0.0	23.27	QQP	0.631	98.4 (63.1)
4744	frankly,	Verifiability.unverifiable	158.0	4459.0	155.0	0.981	1.396	0.007	15.661	Verifiability	0.703	98.1 (70.3)
5560	anyway,	Informativeness.low	97.0	2246.0	95.0	0.979	1.824	0.01	22.465	Informativeness	0.537	97.9 (53.7)
5559	again,	Informativeness.low	97.0	2246.0	95.0	0.979	1.824	0.01	22.465	Informativeness	0.537	97.9 (53.7)
14275	admittedly,	SUBJ.subjective	237.0	4514.0	232.0	0.979	1.952	0.013	23.624	SUBJ	0.502	97.9 (50.2)
11992	in_the_meantime,	QQP.not-duplicate	45.0	206126.0	44.0	0.978	1.55	0.0	16.622	QQP	0.631	97.8 (63.1)
11993	by_comparison,	QQP.not-duplicate	355.0	206126.0	347.0	0.977	1.55	0.0	16.391	QQP	0.631	97.7 (63.1)
5266	nationally,	Formality.high	35.0	1964.0	34.0	0.971	2.016	0.004	18.131	Formality	0.482	97.1 (48.2)
5267	so,	Formality.low	67.0	2111.0	65.0	0.97	1.873	0.007	16.146	Formality	0.518	97.0 (51.8)
13853	regardless,	CR.positive	32.0	2151.0	31.0	0.969	1.528	0.003	11.708	CR	0.634	96.9 (63.4)
5561	separately,	Informativeness.high	254.0	1938.0	246.0	0.969	2.091	0.031	17.044	Informativeness	0.463	96.9 (46.3)
5268	ironically,	Formality.high	30.0	1964.0	29.0	0.967	2.006	0.004	15.541	Formality	0.482	96.7 (48.2)
14276	meanwhile,	SUBJ.objective	299.0	4485.0	289.0	0.967	1.939	0.016	14.998	SUBJ	0.498	96.7 (49.8)
11994	usually,	QQP.not-duplicate	89.0	206126.0	86.0	0.966	1.532	0.0	10.958	QQP	0.631	96.6 (63.1)
11995	however	QQP.not-duplicate	59.0	206126.0	57.0	0.966	1.532	0.0	10.896	QQP	0.631	96.6 (63.1)
11996	initially,	QQP.not-duplicate	28.0	206126.0	27.0	0.964	1.529	0.0	10.342	QQP	0.631	96.4 (63.1)
13854	fortunately,	CR.positive	28.0	2151.0	27.0	0.964	1.521	0.003	10.244	CR	0.634	96.4 (63.4)
11997	luckily,	QQP.not-duplicate	28.0	206126.0	27.0	0.964	1.529	0.0	10.342	QQP	0.631	96.4 (63.1)
14277	coincidentally,	SUBJ.objective	55.0	4485.0	53.0	0.964	1.934	0.003	13.794	SUBJ	0.498	96.4 (49.8)
5269	indeed,	Formality.high	55.0	1964.0	53.0	0.964	1.999	0.007	14.246	Formality	0.482	96.4 (48.2)
5270	also,	Formality.low	82.0	2111.0	79.0	0.963	1.86	0.009	13.174	Formality	0.518	96.3 (51.8)
5271	strangely,	Formality.low	27.0	2111.0	26.0	0.963	1.859	0.003	13.013	Formality	0.518	96.3 (51.8)
5273	really,	Formality.low	26.0	2111.0	25.0	0.962	1.856	0.003	12.531	Formality	0.518	96.2 (51.8)
11998	sadly,	QQP.not-duplicate	26.0	206126.0	25.0	0.962	1.525	0.0	9.604	QQP	0.631	96.2 (63.1)
11433	unfortunately,	SST-2.negative	250.0	26831.0	240.0	0.96	2.169	0.002	13.934	SST-2	0.443	96.0 (44.3)
5272	later,	Formality.high	50.0	1964.0	48.0	0.96	1.992	0.006	12.951	Formality	0.482	96.0 (48.2)
